"SALES 
PERSON",COMPANY NAME," INVOICE
AMOUNT ","INVOICE 
NUMBER",SALES REMARK,CLAIM STATUS,HRDF GRANT ID,HRDF TRAINING DATE,HRDF CLAIM ID,
JOSHUA HO,YONG MIN OFFICE AUTOMATION SDN. BHD.," RM4,814.64 ",EHIN2503-0008,ONE BATCH ,RECEIVED,849300V_25_0010,08/04/2025   To :  10/04/2025,C832542SBL_25_2045525,
JOSHUA HO,SA ARCHITECTS SDN. BHD.," RM11,120.76 ",EHIN2503-0005,ONE BATCH ,RECEIVED,121315V_25_0010,25/03/2025   To :  25/03/2025,C832542SBL_25_2032345,
YASMIN,RIARAN RESOURCES (M) SDN BHD," RM2,987.28 ",EHIN2504-0004,ONE BATCH ,RECEIVED,947354U_25_0001,15/04/2025 To: 17/04/2025,C832542SBL_25_2063421,
WIRSON,ESHEN PRECISION ENGINEERING SDN BHD," RM6,739.20 ",EHIN2503-0015,ONE BATCH ,RECEIVED,883297U_25_0013,08/04/2025   To :  10/04/2025,C832542SBL_25_2041546,
BARI,H&F PENINSULAR ENTERPRISE SDN BHD," RM6,525.36 ",EHIN2503-0017,ONE BATCH ,RECEIVED,736277X_25_0006,22/04/2025   To :  24/04/2025,C832542SBL_25_2085107,
BARI,SGH EDARAN (M) SDN BHD," RM17,431.20 ",EHIN2503-0016,ONE BATCH ,RECEIVED,716636A_25_0011,22/04/2025   To :  24/04/2025,C832542SBL_25_2085119,
JOSHUA HO,FLAAAH THE BAKERY SDN. BHD.," RM6,285.60 ",EHIN2503-0014,ONE BATCH ,RECEIVED,1436659A_25_0001,08/04/2025   To :  10/04/2025,C832542SBL_25_2045558,
JOSHUA HO,HLC LOGISTICS SDN. BHD.," RM8,385.12 ",EHIN2503-0018,ONE BATCH ,RECEIVED,1074776W_25_0007,08/04/2025   To :  10/04/2025,C832542SBL_25_2045545,
FARHANAH,HYK BINA SDN. BHD.," RM11,537.64 ",EHIN2503-0019,ONE BATCH ,RECEIVED,159775A_25_0026, 15/04/2025   To :  17/04/2025,C832542SBL_25_2049656,
VINCE,"RAINE, HORNE & ZAKI PROPERTY MANAGEMENT SDN. BHD."," RM30,967.92 ",EHIN2504-0001,BATCH 1,RECEIVED,221595_25_0132,08/04/2025   To :  10/04/2025,C832542SBL_25_2040801,
VINCE,"RAINE, HORNE & ZAKI PROPERTY MANAGEMENT SDN. BHD."," RM25,806.60 ",EHIN2504-0002,BATCH 2,RECEIVED,221595_25_0133,15/04/2025   To :  17/04/2025,C832542SBL_25_2049115,
MUIM,GREEN WORLD GENETICS SDN. BHD.," RM34,473.60 ",EHIN2504-0003,ONE BATCH,RECEIVED,684252V_25_0030,15/04/2025   To :  17/04/2025,C832542SBL_25_2070181,
WIRSON,C.E. BRUSH MANUFACTURING SDN. BHD.," RM4,322.16 ",EHIN2504-0005,ONE BATCH,RECEIVED,554587P_25_0020,15/04/2025   To :  17/04/2025,C832542SBL_25_2082197,
VINCE,LAGUNA REDANG ISLAND RESORT SDN. BHD.," RM27,682.56 ",EHIN2504-0006,ONE BATCH,RECEIVED,558116U_25_0096,15/04/2025   To :  17/04/2025,C832542SBL_25_2049178,
AZIZ,YUSOF NOOR SDN. BHD," RM2,161.08 ",EHIN2504-0010,ONE BATCH,RECEIVED,229545U_25_0012,22/04/2025   To :  24/04/2025,C832542SBL_25_2067102,
AZIZ,INTERNATIONAL SHIPCARE SDN. BHD.," RM9,707.04 ",EHIN2504-0007,ONE BATCH,RECEIVED, 23123W_25_0076,22/04/2025   To :  24/04/2025,C832542SBL_25_2067154,
AZIZ,PSJ MARINE SERVICES SDN BHD," RM4,853.52 ",EHIN2504-0008,ONE BATCH,RECEIVED,083956V_25_0026,22/04/2025   To :  24/04/2025,C832542SBL_25_2074009,
FARHANAH,EYESMATE OPTICAL SDN. BHD.," RM14,618.88 ",EHIN2504-0009,ONE BATCH,RECEIVED,436782P_25_0006, 28/04/2025   To :  30/04/2025,C832542SBL_25_2073088,
VINCE,STARLITE ELECTRICAL TRADING SDN. BHD.," RM13,867.20 ",EHIN2504-0011,BATCH 1,RECEIVED,180090V_25_0011,22/04/2025   To :  24/04/2025,C832542SBL_25_2059689,
VINCE,STARLITE ELECTRICAL INDUSTRIES SDN. BHD.," RM8,961.84 ",EHIN2504-0012,BATCH 2,RECEIVED,128986W_25_0011,22/04/2025   To :  24/04/2025,C832542SBL_25_2059785,
MUIM,MALAYA GLASS PRODUCTS SDN.BHD.," RM32,046.84 ",EHIN2504-0013,ONE BATCH,RECEIVED,339193P_25_0371,06/05/2025   To :  09/05/2025,C832542SBL_25_2099262,
FARHANAH,EEL PLUMBING & TRADING SDN. BHD.," RM4,461.48 ",EHIN2504-0014,ONE BATCH,RECEIVED,216805H_25_0003,28/04/2025   To :  30/04/2025,C832542SBL_25_2071587,
AZIZ,HO SENG KEE (M) SDN BHD," RM2,468.88 ",EHIN2504-0015,ONE BATCH,RECEIVED,1531211M_25_0002,28/04/2025   To :  30/04/2025,C832542SBL_25_2095881,
VINCE,PANAROMIC SDN. BHD.," RM2,689.20 ",EHIN2505-0003,ONE BATCH,RECEIVED,92226M_25_0013,06/05/2025   To :  08/05/2025,C832542SBL_25_2079322,
BARI,RENTBOT AUTOMATION SDN. BHD.," RM7,322.40 ",EHIN2504-0016,ONE BATCH,RECEIVED,1272899X_25_0004,20/05/2025   To :  22/05/2025,C832542SBL_25_2123274,
JOSHUA HO,STRATA PARK (M) SDN. BHD.," RM3,797.28 ",EHIN2504-0019,ONE BATCH,RECEIVED,325165M_25_0053,06/05/2025   To :  08/05/2025,C832542SBL_25_2104496,
JOSHUA HO,WCT CONSTRUCTION SDN. BHD.," RM24,867.00 ",EHIN2504-0017,BATCH 1,RECEIVED,140381U_25_0237,06/05/2025   To :  08/05/2025,C832542SBL_25_2105045,
JOSHUA HO,WCT CONSTRUCTION SDN. BHD.," RM24,867.00 ",EHIN2504-0018,BATCH 2,RECEIVED,140381U_25_0238,13/05/2025   To :  15/05/2025,C832542SBL_25_2107289,
MUIM,XCITE CORPERATION SDN BHD," RM6,136.56 ",EHIN2505-0001,ONE BATCH,RECEIVED,887872A_25_0051,13/05/2025   To :  15/05/2025,C832542SBL_25_2099177,
VINCE,A NATIVE DREAMER SDN. BHD.," RM3,797.28 ",EHIN2505-0005,ONE BATCH,RECEIVED,1253763A_25_0001,06/05/2025   To :  08/05/2025,C832542SBL_25_2079452,
VINCE,HONG BEE PROPERTY MANAGEMENT SDN. BHD.," RM12,101.40 ",EHIN2505-0004,ONE BATCH,RECEIVED,669755P_25_0008,06/05/2025   To :  08/05/2025,C832542SBL_25_2079562,
AZIZ,SYARIKAT FIRWAN MERICAN SDN. BHD.," RM10,458.72 ",EHIN2505-0002,ONE BATCH,RECEIVED,253689H_25_0016,13/05/2025   To :  15/05/2025,C832542SBL_25_2091889,
FATIMAH,VC ENGINEERING SDN. BHD.," RM11,404.80 ",EHIN2505-0019,ONE BATCH,RECEIVED,1148146X_25_0052,13/05/2025   To :  15/05/2025,C832542SBL_25_2093109,
FATIMAH,IRADAR SDN. BHD.," RM3,110.40 ",EHIN2503-0010,ONE BATCH,RECEIVED,957179T_25_0032,06/05/2025   To :  08/05/2025,C832542SBL_25_2091331,
BARI,ADNEX INTERIOR SOLUTION SDN. BHD.," RM3,090.96 ",EHIN2505-0006,ONE BATCH,RECEIVED,674582A_25_0010,20/05/2025   To :  22/05/2025,C832542SBL_25_2123294,
BARI,URBANEX PROPERTY MANAGEMENT SDN. BHD.," RM20,995.20 ",EHIN2505-0007,ONE BATCH,RECEIVED,1470077U_25_0007,13/05/2025   To :  15/05/2025,C832542SBL_25_2123268,
YASMIN,MALAYSIAN CLEANSING SERVICES SDN. BHD.," RM3,240.00 ",EHIN2505-0021,ONE BATCH,RECEIVED,94694K_25_0073,13/05/2025   To :  15/05/2025,C832542SBL_25_2138382,
JOSHUA HO,KAISU (M) SDN. BHD.," RM7,866.72 ",EHIN2505-0008,ONE BATCH,RECEIVED,280088U_25_0012,20/05/2025   To :  22/05/2025,C832542SBL_25_2111184,
JOSHUA HO,ASICS MALAYSIA SDN. BHD.," RM20,619.36 ",EHIN2505-0010,ONE BATCH,RECEIVED,1235433X_25_0026,13/05/2025   To :  15/05/2025,C832542SBL_25_2107344,
MUIM,PEMBINAAN YUEN SENG SDN BHD," RM10,886.40 ",EHIN2505-0012,ONE BATCH,RECEIVED,489470H_25_0017,20/05/2025   To :  22/05/2025,C832542SBL_25_2115878,
JOSHUA HO,GHAZAL MAHEL ASSOCIATES SDN. BHD.," RM17,496.00 ",EHIN2505-0009,ONE BATCH,RECEIVED,1076614V_25_0002,20/05/2025   To :  22/05/2025,C832542SBL_25_2111185,
VINCE,NYALA SATRIA (M) SDN. BHD.," RM10,575.36 ",EHIN2505-0013,ONE BATCH,RECEIVED,392392D_25_0018,20/05/2025   To :  22/05/2025,C832542SBL_25_2102444,
FATIMAH,YEO AIK HEVEA (M) SDN. BHD.," RM8,553.60 ",EHIN2505-0020,ONE BATCH,RECEIVED,430442K_25_0056,27/05/2025   To :  29/05/2025,C832542SBL_25_2109955,
VINCE,PRECIOUS PRECIOUS SDN. BHD.," RM11,032.20 ",EHIN2505-0014,ONE BATCH,RECEIVED,876829X_25_0012,20/05/2025   To :  22/05/2025,"C832542SBL_25_2102256	",
AFIFAH,VERSTAERKER-ROLLE (M) SDN. BHD.," RM11,664.00 ",EHIN2505-0022,ONE BATCH,RECEIVED,185136T_25_0046,27/05/2025   To :  29/05/2025,C832542SBL_25_2114113,
FATIMAH,AIK MENG HARDWARE & MACHINERY SDN. BHD.," RM10,368.00 ",EHIN2505-0024,ONE BATCH,RECEIVED,1116079M_25_0016,10/06/2025   To :  12/06/2025,C832542SBL_25_2133313,
AZIZ,KTA (SARAWAK) SDN. BHD.," RM19,478.88 ",EHIN2505-0015,BATCH 1,RECEIVED,197901008719_25_0160,10/06/2025   To :  12/06/2025,C832542SBL_25_2161527,
AZIZ,KTA (SARAWAK) SDN. BHD.," RM19,478.88 ",EHIN2505-0016,BATCH 2,RECEIVED,197901008719_25_0164,17/06/2025   To :  19/06/2025,C832542SBL_25_2167534,
AZIZ,KTA (SARAWAK) SDN. BHD.," RM19,478.88 ",EHIN2505-0017,BATCH 3,RECEIVED,197901008719_25_0165,24/06/2025   To :  26/06/2025,C832542SBL_25_2182112,
AZIZ,KTA (SARAWAK) SDN. BHD.," RM19,478.88 ",EHIN2505-0018,BATCH 4,RECEIVED,197901008719_25_0167,01/07/2025   To :  03/07/2025,C832542SBL_25_2168964,
YASMIN,CATS HOMETOWN SDN BHD," RM4,322.16 ",EHIN2506-0002,ONE BATCH,RECEIVED,1395330X_25_0010,10/06/2025   To :  12/06/2025,C832542SBL_25_2160000,
VINCE,BINASTRA LAND SDN BHD," RM16,524.00 ",EHIN2505-0025,ONE BATCH,RECEIVED,653966W_25_0035,03/06/2025   To :  05/06/2025,C832542SBL_25_2130494,
AZIZ,HICORP ENGINEERING SDN. BHD.," RM4,140.72 ",EHIN2506-0001,ONE BATCH,RECEIVED,516009K_25_0009,10/06/2025   To :  12/06/2025,C832542SBL_25_2151566,
FARHANAH,INNOPEAK (M) SDN. BHD.," RM3,674.16 ",EIN2412-0194,ONE BATCH,RECEIVED,269074U_25_0011,10/06/2025   To :  12/06/2025,C832542SBL_25_2155153,
VINCE,PRODUK OPTIMA SDN. BHD.," RM9,545.04 ",EHIN2506-0003,ONE BATCH,RECEIVED,283824M_25_0017,17/06/2025   To :  19/06/2025,C832542SBL_25_2145553,
VINCE,VESTCOM PROPERTY MANAGEMENT," RM5,482.08 ",EHIN2506-0004,ONE BATCH,RECEIVED,002507651V_25_0006,17/06/2025   To :  19/06/2025,C832542SBL_25_2145480,
MUIM,LITZ GOLDSMITH & JEWELLERY SDN. BHD.," RM7,464.96 ",EHIN2506-0010,ONE BATCH,RECEIVED,138132V_25_0017,24/06/2025 To : 26/06/2025,C832542SBL_25_2159615,
AZIZ,ORALIX SDN. BHD.," RM3,674.16 ",EHIN2506-0005,ONE BATCH,RECEIVED,600506X_25_0001,24/06/2025   To :  26/06/2025,C832542SBL_25_2185154,
VINCE,DZSIGN SOLUTIONS SDN. BHD.," RM8,508.24 ",EHIN2506-0006,ONE BATCH,RECEIVED,1243068D_25_0015,24/06/2025   To :  26/06/2025,C832542SBL_25_2162835,
AFIFAH,WAI TATT ENGINEERING SDN. BHD.," RM12,960.00 ",EHIN2506-0011,ONE BATCH,RECEIVED,1255277W_25_0032,24/06/2025   To :  26/06/2025,C832542SBL_25_2183642,
YASMIN,SAJIMAS AGROFOOD SDN. BHD.," RM1,503.36 ",EHIN2506-0009,ONE BATCH,RECEIVED,1493957V_25_0002,08/07/2025   To :  10/07/2025,C832542SBL_25_2182584,
AFIFAH,BINATEX SDN. BHD.," RM15,552.00 ",EHIN2506-0012,ONE BATCH,RECEIVED,558295D_25_0044,24/06/2025   To :  26/06/2025,C832542SBL_25_2163930,
MUIM,ASIA INFRASTRUCTURE SOLUTIONS SDN BHD," RM5,274.72 ",EHIN2506-0019,ONE BATCH,RECEIVED,219043T_25_0094,15/07/2025 To : 17/07/2025,C832542SBL_25_2204039,
AFIFAH,STATE INSURANCE BROKERS SDN. BHD.," RM10,777.53 ",EHIN2506-0021,ONE BATCH,RECEIVED,16532U_25_0063,01/07/2025 To : 03/07/2025,C832542SBL_25_2175873,
AFIFAH,YEW HOONG SOFA PRODUCTS (M) SDN. BHD.," RM10,497.60 ",EHIN2506-0018,ONE BATCH,RECEIVED,265122K_25_0030,15/07/2025 To : 17/07/2025,C832542SBL_25_2248329,
KARTINA,JOREX SDN. BHD.," RM4,858.92 ",EHIN2507-0007,ONE BATCH,RECEIVED,130147P_25_0012,01/07/2025   To :  03/07/2025,C832542SBL_25_2180969,
VINCE,PANAROMIC SDN. BHD.," RM4,594.32 ",EHIN2506-0017,ONE BATCH,RECEIVED,92226M_25_0017,01/07/2025   To :  03/07/2025,C832542SBL_25_2182552,
AZIZ,SJ CLASSIC INDUSTRIES SDN. BHD.," RM25,466.40 ",EHIN2506-0015,ONE BATCH,RECEIVED,434775H_25_0031,15/07/2025   To :  17/07/2025,C832542SBL_25_2199776,
VINCE,RED NOSE SDN. BHD.," RM8,508.24 ",EHIN2506-0020,ONE BATCH,RECEIVED,1150976H_25_0010,08/07/2025   To :  10/07/2025,C832542SBL_25_2181952,
YASMIN,EZT PROPERTY MANAGEMENT SDN. BHD.," RM15,240.96 ",EHIN2507-0001,ONE BATCH,RECEIVED,769148X_25_0002, 08/07/2025   To :  10/07/2025,C832542SBL_25_2182038,
BARI,ALVA HOLDING SDN BHD," RM13,112.28 ",EHIN2507-0002,ONE BATCH,RECEIVED,1330036M_25_0017,08/07/2025   To :  10/07/2025,C832542SBL_25_2183987,
VINCE,YEELING TRADING SDN. BHD.," RM7,199.28 ",EHIN2507-0003,ONE BATCH,RECEIVED,1349872K_25_0008,15/07/2025   To :  17/07/2025,C832542SBL_25_2197048,
VINCE,FIREREX TECHNOLOGY SDN. BHD.," RM5,148.36 ",EHIN2506-0014,ONE BATCH,RECEIVED,1228209K_25_0001,01/07/2025   To :  03/07/2025,C832542SBL_25_2169706,
FATIMAH,TAIK SIN TIMBER INDUSTRY SDN BHD," RM7,750.08 ",EHIN2507-0004,ONE BATCH,RECEIVED,36967T_25_0030,22/07/2025   To :  24/07/2025,C832542SBL_25_2244289,
MUIM,SEN SEN DEPARTMENTAL STORE SDN BHD," RM16,627.68 ",EHIN2507-0005,ONE BATCH,RECEIVED,812637A_25_0006,15/07/2025   To :  17/07/2025,C832542SBL_25_2235785,
YASMIN,ENZO PLUS SDN. BHD.," RM2,624.40 ",EHIN2507-0006,ONE BATCH,RECEIVED,1354917P_25_0008,22/07/2025   To :  24/07/2025,C832542SBL_25_2223138,
AZIZ,REVENUE DISCOVERY SDN. BHD.," RM2,365.20 ",EHIN2507-0008,ONE BATCH,RECEIVED,929218H_25_0013,22/07/2025   To :  24/07/2025,C832542SBL_25_2207913,
VINCE,FEDERLITE SDN. BHD.," RM37,350.72 ",EHIN2507-0011,ONE BATCH,RECEIVED,429382H_25_0011,22/07/2025   To :  24/07/2025,C832542SBL_25_2206676,
VINCE,SEASON RETAIL MANAGEMENT SDN. BHD.," RM21,076.20 ",EHIN2507-0012,ONE BATCH,RECEIVED,1462080D_25_0015,22/07/2025   To :  24/07/2025,C832542SBL_25_2207543,
JOSHUA HO,ASIANMAX CORPORATION SDN BHD," RM25,839.00 ",EHIN2507-0009,BATCH 1,RECEIVED,810614A_25_0018,22/07/2025   To :  24/07/2025,C832542SBL_25_2215240,
JOSHUA HO,EURO SAGA SDN BHD," RM25,839.00 ",EHIN2507-0010,BATCH 2,RECEIVED,356750U_25_0053,29/07/2025   To :  31/07/2025,C832542SBL_25_2227438,
BARI,URBANEX PROPERTY MANAGEMENT SDN. BHD.," RM8,184.24 ",EHIN2507-0014,ONE BATCH,RECEIVED,1470077U_25_0008,29/07/2025   To :  31/07/2025,C832542SBL_25_2234382,
YASMIN,BOUSTEAD HOTELS & RESORTS SDN. BHD.," RM6,998.40 ",EHIN2507-0015,BATCH 1,RECEIVED,147089A_25_0451,29/07/2025   To :  31/07/2025,C832542SBL_25_2222996,
YASMIN,BOUSTEAD HOTELS & RESORTS SDN. BHD.," RM3,564.00 ",EHIN2507-0024,BATCH 2,RECEIVED,147089A_25_0452,05/08/2025 To: 07/08/2025,C832542SBL_25_2237818,
BARI,ASI SYNERGY SDN. BHD.," RM2,313.36 ",EHIN2507-0019,ONE BATCH,RECEIVED,786019V_25_0002,29/07/2025   To :  31/07/2025,C832542SBL_25_2280331,
VINCE,KYOCERA PROPEL NETWORK SDN. BHD.," RM4,620.24 ",EHIN2507-0017,ONE BATCH,RECEIVED,837727U_25_0057,05/08/2025 To: 07/08/2025,C832542SBL_25_2246987,
AFIFAH,TENAGA WAN FOONG SDN BHD," RM6,220.80 ",EHIN2507-0021,ONE BATCH,RECEIVED,276652X_25_0015,05/08/2025 To: 07/08/2025,C832542SBL_25_2252385,
KARTINA,JOREX SDN. BHD.," RM4,743.36 ",EHIN2507-0023,ONE BATCH,RECEIVED,130147P_25_0014,05/08/2025 To: 07/08/2025,C832542SBL_25_2282727,
FATIMAH,BHL CONSULTANTS P & F SDN. BHD.," RM18,662.40 ",EHIN2507-0020,ONE BATCH,RECEIVED,227279A_25_0014,05/08/2025 To: 07/08/2025,C832542SBL_25_2270691,
VINCE,PYT JEWELLER (M) SDN. BHD.," RM7,737.12 ",EHIN2507-0022,ONE BATCH,RECEIVED,373106T_25_0007,12/08/2025 To: 14/08/2025,C832542SBL_25_2246999,
YASMIN,KAITEKI BEAUTY SDN BHD," RM2,203.20 ",EHIN2508-0001,ONE BATCH ,RECEIVED,1334975M_25_0002,12/08/2025 To: 14/08/2025,C832542SBL_25_2253042,
JOSHUA HO, MALIK STREAMS CORPORATION SDN. BHD. ," RM21,497.40 ",EHIN2507-0026,ONE BATCH ,RECEIVED,798783U_25_0004,05/08/2025 To: 07/08/2025,C832542SBL_25_2240872,
BARI,JT MIX SDN. BHD.," RM22,550.40 ",EHIN2508-0002,ONE BATCH ,RECEIVED,1063011A_25_0035,26/08/2025 To: 28/08/2025,C832542SBL_25_2288028,
VINCE,NUOVOLAND SDN BHD," RM14,618.88 ",EHIN2508-0007,ONE BATCH ,RECEIVED,944740H_25_0031,12/08/2025 To: 14/08/2025,C832542SBL_25_2247017,
JOSHUA HO,GARD INC SDN. BHD.," RM6,525.36 ",EHIN2508-0004,ONE BATCH ,RECEIVED,833000K_25_0101,12/08/2025 To: 14/08/2025,C832542SBL_25_2243319,
BARI,2020 MOTOR SERVICE CENTRE SDN. BHD.," RM8,359.20 ",EHIN2508-0003,ONE BATCH ,PENDING,1011918X_25_0004,19/08/2025 To: 21/08/2025,,
MUIM,BAKAT INDUSTRI SDN. BHD.," RM8,877.60 ",EHIN2507-0018,ONE BATCH ,RECEIVED,166605X_25_0013,22/07/2025 To: 24/07/2025,C832542SBL_25_2234692,
VINCE,SAMA KEBEL SDN. BHD.," RM16,329.60 ",EHIN2508-0009,ONE BATCH ,RECEIVED,221017H_25_0053,09/09/2025 To: 11/09/2025,C832542SBL_25_2293060,
MUIM,MITSUI CHEMICALS SCIENTEX SDN. BHD.," RM22,793.40 ",EHIN2508-0008,ONE BATCH ,RECEIVED,577797V_25_0108, 02/09/2025   To :  04/09/2025,C832542SBL_25_2279340,
JOSHUA HO,TOTA STEEL ENTERPRISE SDN. BHD., RM997.92 ,EHIN2501-0009,BATCH 2,RECEIVED,1124888A_25_0014,12/08/2025 To: 14/08/2025,C832542SBL_25_2250235,
AFIFAH,T.B.H INDUSTRIES (M) SDN. BHD.," RM10,886.40 ",EHIN2508-0010,ONE BATCH,RECEIVED,406317W_25_0008,26/08/2025 To: 28/08/2025,C832542SBL_25_2275779,
VINCE,ACRYLIC SIGNS MATERIAL SDN. BHD.," RM26,127.36 ",EHIN2506-0013,ONE BATCH,RECEIVED,199601019604_25_0028,19/08/2025 To: 21/08/2025,C832542SBL_25_2255489,
YASMIN,JADE ESERVICES MALAYSIA SDN. BHD.," RM3,240.00 ",EHIN2508-0011,ONE BATCH,RECEIVED,201101044885_25_0188,19/08/2025 To: 21/08/2025,C832542SBL_25_2250342,
JOSHUA HO,VSTECS KUSH SDN. BHD.," RM1,663.20 ",EHIN2508-0012,ONE BATCH,RECEIVED,263807K_25_0083,26/08/2025 To: 26/08/2025,C832542SBL_25_2278186,
BARI,SSB ROAD PAVING SDN. BHD.," RM23,247.00 ",EHIN2508-0018,ONE BATCH,RECEIVED,324422M_25_0009,26/08/2025 To: 26/08/2025,C832542SBL_25_2341811,
AZIZ,BKS LOGISTICS & MACHINERY SDN. BHD.," RM14,230.08 ",EHIN2508-0014,ONE BATCH,RECEIVED,1209288V_25_0014,23/09/2025 To: 25/09/2025,C832542SBL_25_2314151,
AZIZ,MERSING CONCRETE SDN. BHD.," RM18,973.44 ",EHIN2508-0013,ONE BATCH,RECEIVED,411441U_25_0038,23/09/2025 To: 25/09/2025,C832542SBL_25_2314118,
MUIM,SS ROVER SDN BHD," RM7,931.52 ",EHIN2508-0020,ONE BATCH,PENDING,PLACED DEPOSIT, 02/09/2025   To :  04/09/2025,,
WIRSON,GTP CONSULTANT SDN BHD," RM6,609.60 ",EHIN2508-0031,ONE BATCH,RECEIVED,379395U_25_0021, 02/09/2025   To :  04/09/2025,C832542SBL_25_2280408,
VINCE,YITERY (SRI AMAN) SDN. BHD.," RM4,795.20 ",EHIN2508-0016,ONE BATCH,RECEIVED,1519818M_25_0003, 02/09/2025   To :  04/09/2025,C832542SBL_25_2280079,
MUIM,GENERAL INFRA SDN BHD," RM15,066.00 ",EHIN2508-0019,ONE BATCH,RECEIVED,1293244A_25_0004, 09/09/2025   To :  11/09/2025,C832542SBL_25_2297240,
JOSHUA HO,BHK DUTY FREE SDN. BHD.," RM5,281.20 ",EHIN2508-0027,ONE BATCH,PENDING,1124685T_25_0009, 02/09/2025   To :  04/09/2025,,
VINCE,YI GARDEN," RM4,795.20 ",EHIN2508-0015,ONE BATCH,RECEIVED,SKI15619_25_0007, 02/09/2025   To :  04/09/2025,C832542SBL_25_2280602,
VINCE,YI YOUTH SDN. BHD.," RM9,590.40 ",EHIN2508-0017,ONE BATCH,RECEIVED,1438393D_25_0010, 02/09/2025   To :  04/09/2025,C832542SBL_25_2280740,
VINCE,HAI KAH LANG SDN BHD," RM24,057.00 ",EHIN2508-0021,BATCH 1,RECEIVED,1435132X_25_0002, 02/09/2025   To :  04/09/2025,C832542SBL_25_2281037,
VINCE,HAI KAH LANG SDN BHD," RM24,057.00 ",EHIN2508-0022,BATCH 2,RECEIVED,1435132X_25_0003, 09/09/2025   To :  11/09/2025,C832542SBL_25_2293081,
VINCE,HAI KAH LANG (SP) SDN. BHD., RM842.40 ,EHIN2508-0023,ONE BATCH,RECEIVED,1532212A_25_0001, 02/09/2025   To :  04/09/2025,C832542SBL_25_2281228,
VINCE,HAI KAH LANG (KEPONG) SDN. BHD., RM978.48 ,EHIN2508-0026,ONE BATCH,RECEIVED,1592811K_25_0001, 02/09/2025   To :  04/09/2025,C832542SBL_25_2281958,
AFIFAH,PETROCLAMP SDN. BHD.," RM5,508.00 ",EHIN2508-0028,ONE BATCH,RECEIVED,824281K_25_0075, 02/09/2025   To :  04/09/2025,C832542SBL_25_2282690,
VINCE,HAI KAH LANG (SEAPARK) SDN BHD," RM1,788.48 ",EHIN2508-0025,ONE BATCH,RECEIVED,1532213P_25_0001, 02/09/2025   To :  04/09/2025,C832542SBL_25_2282245,
VINCE,RETROFIT POWER ENGINEERING (M) SDN. BHD.," RM4,685.04 ",EHIN2509-0001,ONE BATCH,PENDING,1376578H_25_0003, 02/09/2025   To :  04/09/2025,,
VINCE,HAI KAH LANG (SENTOSA) SDN. BHD.," RM1,069.20 ",EHIN2508-0024,ONE BATCH,RECEIVED,1513969H_25_0001, 02/09/2025   To :  04/09/2025,C832542SBL_25_2282344,
BARI,SPREE FURNITURE & DECORATION," RM7,646.40 ",EHIN2509-0002,ONE BATCH,RECEIVED,TR0132555H_25_0004, 09/09/2025   To :  11/09/2025,C832542SBL_25_2293035,
AFIFAH,MALAYSIAN CLEANSING SERVICES SDN. BHD.," RM16,200.00 ",EHIN2509-0003,BATCH 1,RECEIVED,94694K_25_0077, 09/09/2025   To :  11/09/2025,C832542SBL_25_2293120,
MUIM,CSF ADVISERS SDN. BHD.," RM2,472.12 ",EHIN2509-0011,ONE BATCH,RECEIVED,532675X_25_0060, 23/09/2025   To :  25/09/2025,C832542SBL_25_2326724,
JOSHUA HO,PROSDATA ENGINEERING SDN. BHD.," RM5,702.40 ",EHIN2509-0008,ONE BATCH,PENDING,549299U_25_0009, 17/09/2025   To :  19/09/2025,,
FATIMAH,AYAM WIRA FOOD PROCESSING SDN. BHD.," RM3,175.20 ",EHIN2509-0006,ONE BATCH,PENDING,511714X_25_0017, 30/09/2025   To :  02/10/2025,,
YASMIN,INSIST AMILAT SDN. BHD.," RM6,032.88 ",EHIN2509-0007,ONE BATCH,APPROVED,443292D_25_0018, 23/09/2025   To :  25/09/2025,C832542SBL_25_2313515,
AFIFAH,MALAYSIAN CLEANSING SERVICES SDN. BHD.," RM16,200.00 ",EHIN2509-0004,BATCH 2,PENDING,94694K_25_0078,07/10/2025   To :  09/10/2025,,
MUIM,CAMEL POWER TRADING SDN. BHD.," RM5,041.44 ",EHIN2509-0009,ONE BATCH,PENDING,1273494A_25_0048, 30/09/2025   To :  02/10/2025,,
JOSHUA HO,WCT CONSTRUCTION SDN. BHD.," RM18,040.32 ",EHIN2509-0015,ONE BATCH,RECEIVED,140381U_25_0292, 23/09/2025   To :  25/09/2025,C832542SBL_25_2316234,
JOSHUA HO,WCT BERHAD," RM9,992.16 ",EHIN2509-0014,ONE BATCH,RECEIVED,66538K_25_0217, 23/09/2025   To :  25/09/2025,C832542SBL_25_2316247,
JOSHUA HO,WCT MACHINERY SDN. BHD.," RM9,992.16 ",EHIN2509-0013,ONE BATCH,RECEIVED,413011W_25_0038, 23/09/2025   To :  25/09/2025,C832542SBL_25_2316242,
MUIM,ATLAS CSF SDN. BHD.," RM5,184.00 ",EHIN2509-0012,ONE BATCH,RECEIVED,224390X_25_0001, 23/09/2025   To :  25/09/2025,C832542SBL_25_2327256,
JOSHUA HO,SUBANG SKYPARK SDN. BHD.," RM3,000.24 ",EHIN2509-0018,ONE BATCH,RECEIVED,764895A_25_0036, 23/09/2025   To :  25/09/2025,C832542SBL_25_2316256,
